"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\.vs\UTrade Backend\v17\DocumentLayout.backup.json", "JSON", 0, 0, 65, 0, 0, 0, 65
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\.vs\UTrade Backend\v17\DocumentLayout.json", "JSON", 0, 0, 65, 0, 0, 0, 65
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\API.csproj", "XML", 15, 0, 0, 0, 0, 5, 20
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\CategoriaPublicacionController.cs", "C#", 0, 103, 0, 0, 0, 6, 109
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\ChatController.cs", "C#", 0, 120, 0, 0, 0, 4, 124
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\CodigosVerificacionController.cs", "C#", 0, 70, 0, 0, 0, 5, 75
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\ContactanosController.cs", "C#", 0, 63, 0, 0, 0, 6, 69
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\EstadoReporteController.cs", "C#", 0, 103, 0, 0, 0, 7, 110
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\EstadosController.cs", "C#", 0, 104, 0, 0, 0, 6, 110
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\FavoritosController.cs", "C#", 0, 86, 0, 0, 0, 5, 91
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\FotosPublicacionesController.cs", "C#", 0, 137, 0, 0, 0, 8, 145
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\LikesController.cs", "C#", 0, 104, 0, 0, 0, 6, 110
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\MensajeAccionController.cs", "C#", 0, 103, 0, 0, 0, 7, 110
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\MensajesController.cs", "C#", 0, 126, 0, 0, 0, 11, 137
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\MotivoReporteController.cs", "C#", 0, 103, 0, 0, 0, 7, 110
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\NotificacionesController.cs", "C#", 0, 69, 0, 0, 0, 5, 74
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\PersonaController.cs", "C#", 0, 155, 0, 0, 0, 10, 165
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\PublicacionesController.cs", "C#", 0, 273, 0, 0, 0, 15, 288
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\RazonesController.cs", "C#", 0, 103, 0, 0, 0, 8, 111
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\ReporteController.cs", "C#", 0, 87, 0, 0, 0, 9, 96
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\ReseniaController.cs", "C#", 0, 154, 0, 0, 0, 10, 164
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\RolController.cs", "C#", 0, 103, 0, 0, 0, 6, 109
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\TipoAccionController.cs", "C#", 0, 103, 0, 0, 0, 6, 109
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\TipoReporteController.cs", "C#", 0, 103, 0, 0, 0, 7, 110
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Controllers\VerificacionController.cs", "C#", 0, 69, 0, 0, 0, 7, 76
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Hubs\MensajesHub.cs", "C#", 0, 19, 0, 0, 0, 4, 23
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Program.cs", "C#", 0, 29, 0, 0, 0, 11, 40
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Properties\launchSettings.json", "JSON", 0, 0, 31, 0, 0, 1, 32
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Utilidad\Respuesta.cs", "C#", 0, 9, 0, 0, 0, 1, 10
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 1, 9
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\appsettings.json", "JSON", 0, 0, 10, 0, 0, 1, 11
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\bin\Debug\net8.0\API.deps.json", "JSON", 0, 0, 1248, 0, 0, 0, 1248
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\bin\Debug\net8.0\API.runtimeconfig.json", "JSON", 0, 0, 20, 0, 0, 0, 20
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\bin\Debug\net8.0\API.staticwebassets.endpoints.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\bin\Debug\net8.0\appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 1, 9
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\bin\Debug\net8.0\appsettings.json", "JSON", 0, 0, 10, 0, 0, 1, 11
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\API.csproj.nuget.dgspec.json", "JSON", 0, 0, 538, 0, 0, 0, 538
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\API.csproj.nuget.g.props", "XML", 24, 0, 0, 0, 0, 0, 24
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\API.csproj.nuget.g.targets", "XML", 9, 0, 0, 0, 0, 0, 9
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\API.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\API.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 21, 0, 1, 22
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\API.GlobalUsings.g.cs", "C#", 0, 16, 0, 0, 1, 1, 18
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\API.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 3, 0, 0, 10, 5, 18
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\API.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\ApiEndpoints.json", "JSON", 0, 0, 1809, 0, 0, 0, 1809
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\EndpointInfo\API.json", "JSON", 0, 0, 3431, 0, 0, 0, 3431
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\rbcswa.dswa.cache.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\rjsmcshtml.dswa.cache.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\rjsmrazor.dswa.cache.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\rpswa.dswa.cache.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\staticwebassets.build.endpoints.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\Debug\net8.0\staticwebassets.build.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\obj\project.assets.json", "JSON", 0, 0, 3496, 0, 0, 0, 3496
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\BLL.csproj", "XML", 13, 0, 0, 0, 0, 4, 17
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\CategoriaPublicacionServicio.cs", "C#", 0, 100, 0, 0, 0, 8, 108
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\ChatServicio.cs", "C#", 0, 132, 0, 0, 0, 23, 155
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\CodigosVerificacionServicio.cs", "C#", 0, 64, 0, 0, 0, 6, 70
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\ContactanosServicio.cs", "C#", 0, 135, 0, 0, 0, 13, 148
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\ICategoriaPublicacionServicio.cs", "C#", 0, 20, 0, 0, 0, 2, 22
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IChatServicio.cs", "C#", 0, 19, 0, 0, 0, 2, 21
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\ICodigosVerificacionServicio.cs", "C#", 0, 15, 0, 0, 0, 2, 17
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IContactanosServicio.cs", "C#", 0, 18, 0, 0, 0, 3, 21
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IEstadoReporteServicio.cs", "C#", 0, 17, 0, 0, 0, 2, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IEstadosServicio.cs", "C#", 0, 17, 0, 0, 0, 2, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IFavoritosServicio.cs", "C#", 0, 16, 0, 0, 0, 2, 18
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IFotosPublicacionesServicio.cs", "C#", 0, 19, 0, 0, 0, 2, 21
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\ILikesServicio.cs", "C#", 0, 18, 0, 0, 0, 2, 20
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IMensajeAccionServicio.cs", "C#", 0, 17, 0, 0, 0, 2, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IMensajesServicio.cs", "C#", 0, 19, 0, 0, 0, 2, 21
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IMotivoReporteServicio.cs", "C#", 0, 17, 0, 0, 0, 2, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\INotificacionServicio.cs", "C#", 0, 15, 0, 0, 0, 2, 17
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IPersonaServicio.cs", "C#", 0, 20, 0, 0, 0, 2, 22
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IPublicacionesServicio.cs", "C#", 0, 27, 0, 0, 0, 2, 29
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IRazonServicio.cs", "C#", 0, 17, 0, 0, 0, 2, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IRegistroServicio.cs", "C#", 0, 15, 0, 0, 0, 2, 17
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IReporteServicio.cs", "C#", 0, 16, 0, 0, 0, 2, 18
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IReseniaServicio.cs", "C#", 0, 20, 0, 0, 0, 2, 22
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IRolServicio.cs", "C#", 0, 17, 0, 0, 0, 2, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\ITipoAccionServicio.cs", "C#", 0, 17, 0, 0, 0, 2, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\ITipoReporteServicio.cs", "C#", 0, 17, 0, 0, 0, 2, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\EstadoReporteServicio.cs", "C#", 0, 98, 0, 0, 0, 10, 108
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\EstadosServicio.cs", "C#", 0, 100, 0, 0, 0, 8, 108
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\FavoritosServicio.cs", "C#", 0, 66, 0, 0, 0, 11, 77
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\FotosPublicacionesServicio.cs", "C#", 0, 151, 0, 0, 0, 14, 165
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\LikesServicio.cs", "C#", 0, 113, 0, 0, 1, 11, 125
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\MensajeAccionServicio.cs", "C#", 0, 98, 0, 0, 0, 9, 107
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\MensajesServicio.cs", "C#", 0, 124, 0, 0, 0, 15, 139
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\MotivoReporteServicio.cs", "C#", 0, 98, 0, 0, 0, 10, 108
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\NotificacionServicio.cs", "C#", 0, 73, 0, 0, 0, 4, 77
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\PersonaServicio.cs", "C#", 0, 169, 0, 0, 0, 17, 186
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\PublicacionesServicio.cs", "C#", 0, 349, 0, 0, 0, 47, 396
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\RazonesServicio.cs", "C#", 0, 91, 0, 0, 0, 8, 99
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\RegistroServicio.cs", "C#", 0, 117, 0, 0, 0, 19, 136
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\ReporteServicio.cs", "C#", 0, 86, 0, 0, 0, 15, 101
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\ReseniasServicio.cs", "C#", 0, 160, 0, 0, 0, 26, 186
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\RolServicio.cs", "C#", 0, 93, 0, 0, 0, 9, 102
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\TipoAccionServicio.cs", "C#", 0, 100, 0, 0, 0, 9, 109
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\TipoReporteServicio.cs", "C#", 0, 98, 0, 0, 0, 10, 108
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\bin\Debug\net8.0\BLL.deps.json", "JSON", 0, 0, 1122, 0, 0, 0, 1122
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\BLL.csproj.nuget.dgspec.json", "JSON", 0, 0, 379, 0, 0, 0, 379
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\BLL.csproj.nuget.g.props", "XML", 19, 0, 0, 0, 0, 0, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\BLL.csproj.nuget.g.targets", "XML", 8, 0, 0, 0, 0, 0, 8
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\Debug\net8.0\BLL.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\Debug\net8.0\BLL.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 15, 0, 1, 16
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\Debug\net8.0\BLL.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 1, 1, 9
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\Debug\net8.0\BLL.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\project.assets.json", "JSON", 0, 0, 3014, 0, 0, 0, 3014
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DAL\DAL.csproj", "XML", 10, 0, 0, 0, 0, 4, 14
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DAL\DBContext\UtradedbContext.cs", "C#", 0, 534, 0, 0, 0, 111, 645
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\DAL\Repositorios\Contrato\IRepositorioGenerico.cs", "C#", 0, 17, 0, 0, 0, 3, 20
